Dt. Negociação,Conta,Ativo,Preço,Quantidade Compra,Quantidade Venda,Financeiro Compra,Financeiro Venda,,Ativo,Compra ,Quantidade,Venda,Quantidade,Saldo Investimento,Saldo Quantidade,Valor Atual,Saldo Atual
26/10/2016,166150,BBAS3,"R$ 27,46","100,00",0,"R$ 2.746,00","R$ 0,00",,BBAS3,"R$ 16.435,00",500,"R$ 15.084,00",300,"R$ 1.351,00",200,"R$ 29,84","R$ 5.968,00"
26/10/2016,166150,FIIP11B,"R$ 154,91","3,00",0,"R$ 464,73","R$ 0,00",,FIIP11B,"R$ 18.257,68",100,"R$ 0,00",0,"R$ 18.257,68",100,"R$ 200,99","R$ 20.099,00"
07/11/2016,166150,FIIP11B,"R$ 158,00","3,00",0,"R$ 474,00","R$ 0,00",,TIET11,"R$ 1.620,00",100,"R$ 0,00",0,"R$ 1.620,00",100,"R$ 17,44","R$ 1.744,00"
07/11/2016,166150,TIET11,"R$ 16,20","100,00",0,"R$ 1.620,00","R$ 0,00",,CMIG4,"R$ 1.791,00",200,"R$ 2.750,00",0,"-R$ 959,00",200,"R$ 12,10","R$ 2.420,00"
08/11/2016,166150,CMIG4,"R$ 9,39","100,00",0,"R$ 939,00","R$ 0,00",,EZTC3,"R$ 7.617,00",300,"R$ 7.548,00",200,"R$ 69,00",100,"R$ 32,55","R$ 3.255,00"
08/11/2016,166150,EZTC3,"R$ 16,42","100,00",0,"R$ 1.642,00","R$ 0,00",,,,,,,,,,
10/11/2016,166150,CMIG4,"R$ 8,52","100,00",0,"R$ 852,00","R$ 0,00",,,,,,,,,,
10/11/2016,166150,ITSA3,"R$ 8,76","100,00",0,"R$ 876,00","R$ 0,00",,,,,,,,,,
11/11/2016,166150,HBOR3,"R$ 1,50","300,00",0,"R$ 450,00","R$ 0,00",,,,,,,,,,
17/11/2016,166150,FIIP11B,"R$ 156,99","4,00",0,"R$ 627,96","R$ 0,00",,,,,,,,,,
13/12/2016,166150,TAEE11,"R$ 19,60","100,00",0,"R$ 1.960,00","R$ 0,00",,,,,,,,,,
14/12/2016,166150,OIBR4,"R$ 2,49","100,00",0,"R$ 249,00","R$ 0,00",,,,,,,,,,
10/01/2017,166150,EZTC3,"R$ 17,74","100,00",0,"R$ 1.774,00","R$ 0,00",,,,,,,,,,
10/01/2017,166150,FIIP11B,"R$ 169,99","5,00",0,"R$ 849,95","R$ 0,00",,,,,,,,,,
10/01/2017,166150,HBOR3,"R$ 2,07","200,00",0,"R$ 414,00","R$ 0,00",,,,,,,,,,
10/01/2017,166150,TAEE11,"R$ 20,81","100,00",0,"R$ 2.081,00","R$ 0,00",,,,,,,,,,
18/01/2017,166150,ABEV3,"R$ 17,40","200,00",0,"R$ 3.480,00","R$ 0,00",,,,,,,,,,
18/01/2017,166150,HBOR3,"R$ 2,35","0,00",500,"R$ 0,00","R$ 1.175,00",,,,,,,,,,
18/01/2017,166150,ITSA3,"R$ 8,60","200,00",0,"R$ 1.720,00","R$ 0,00",,,,,,,,,,
01/02/2017,166150,FIIP11B,"R$ 166,00","5,00",0,"R$ 830,00","R$ 0,00",,,,,,,,,,
15/02/2017,166150,BRCR11,"R$ 101,62","20,00",0,"R$ 2.032,40","R$ 0,00",,,,,,,,,,
16/02/2017,166150,ITSA3,"R$ 9,75","100,00",0,"R$ 975,00","R$ 0,00",,,,,,,,,,
09/03/2017,166150,OIBR4,"R$ 4,70","0,00",100,"R$ 0,00","R$ 470,00",,,,,,,,,,
13/03/2017,166150,BRCR11,"R$ 105,81","11,00",0,"R$ 1.163,91","R$ 0,00",,,,,,,,,,
13/03/2017,166150,FIIP11B,"R$ 186,00","10,00",0,"R$ 1.860,00","R$ 0,00",,,,,,,,,,
09/05/2017,166150,BBAS3,"R$ 32,53","100,00",0,"R$ 3.253,00","R$ 0,00",,,,,,,,,,
09/05/2017,166150,FIIP11B,"R$ 183,99","23,00",0,"R$ 4.231,77","R$ 0,00",,,,,,,,,,
17/05/2017,166150,KNRI11,"R$ 151,79","30,00",0,"R$ 4.553,70","R$ 0,00",,,,,,,,,,
18/05/2017,166150,BBAS3,"R$ 29,15","100,00",0,"R$ 2.915,00","R$ 0,00",,,,,,,,,,
18/05/2017,166150,ITSA3,"R$ 8,49","200,00",0,"R$ 1.698,00","R$ 0,00",,,,,,,,,,
26/05/2017,166150,BRCR11,"R$ 103,45","10,00",0,"R$ 1.034,50","R$ 0,00",,,,,,,,,,
26/05/2017,166150,BRCR11,"R$ 103,45","8,00",0,"R$ 827,60","R$ 0,00",,,,,,,,,,
26/05/2017,166150,BRCR11,"R$ 103,45","1,00",0,"R$ 103,45","R$ 0,00",,,,,,,,,,
12/06/2017,166150,BBAS3,"R$ 27,16","100,00",0,"R$ 2.716,00","R$ 0,00",,,,,,,,,,
14/07/2017,166150,BRCR11,"R$ 94,54","1,00",0,"R$ 94,54","R$ 0,00",,,,,,,,,,
14/07/2017,166150,BRCR11,"R$ 94,54","1,00",0,"R$ 94,54","R$ 0,00",,,,,,,,,,
14/07/2017,166150,BRCR11,"R$ 94,54","1,00",0,"R$ 94,54","R$ 0,00",,,,,,,,,,
14/07/2017,166150,BRCR11,"R$ 94,54","1,00",0,"R$ 94,54","R$ 0,00",,,,,,,,,,
14/07/2017,166150,BRCR11,"R$ 94,54","1,00",0,"R$ 94,54","R$ 0,00",,,,,,,,,,
14/07/2017,166150,BRCR11,"R$ 94,54","1,00",0,"R$ 94,54","R$ 0,00",,,,,,,,,,
14/07/2017,166150,BRCR11,"R$ 94,54","1,00",0,"R$ 94,54","R$ 0,00",,,,,,,,,,
14/07/2017,166150,BRCR11,"R$ 94,54","1,00",0,"R$ 94,54","R$ 0,00",,,,,,,,,,
